Date,NVDA,MSFT,JNJ,JPM,RTX,V
2014-02-05,0.3639633655548095,29.719343185424805,62.52853012084961,40.022945404052734,51.20953750610352,49.42901992797852
2014-02-06,0.3686779737472534,30.01804542541504,63.581661224365234,40.9435920715332,51.94036483764648,50.20846557617188
2014-02-07,0.3740996122360229,30.333314895629883,64.50581359863281,41.04508590698242,52.54780578613281,50.84349822998047
2014-02-10,0.3752782940864563,30.532440185546875,65.24372863769531,41.132080078125,52.96065139770508,50.56151580810547
2014-02-11,0.3830575048923492,30.83942222595215,66.60491943359375,41.63227081298828,53.6060676574707,50.96958160400391
2014-02-12,0.3967295289039612,31.08831787109375,66.21089935302734,41.69751739501953,53.8016471862793,51.48402786254883
2014-02-13,0.4092231392860412,31.204490661621094,66.31119537353516,42.06722640991211,54.04972457885742,51.45647811889648
2014-02-14,0.4221881031990051,31.212791442871094,66.45445251464844,42.15420913696289,54.32163238525391,51.90431594848633
2014-02-18,0.4219523966312408,31.279661178588867,66.03176879882812,42.400672912597656,54.25962448120117,51.91810989379883
2014-02-19,0.427609771490097,31.354887008666992,65.65206909179688,41.50902938842773,54.402740478515625,51.41743469238281
2014-02-20,0.4426964223384857,31.55550575256348,66.1822280883789,41.74101257324219,54.88455581665039,51.32096481323242
2014-02-21,0.4393962323665619,31.74776840209961,66.03793334960938,41.76276016235352,55.0419807434082,51.29801177978516
2014-02-24,0.4457609951496124,31.50536155700684,65.7420654296875,42.06722640991211,55.571510314941406,51.94795608520508
2014-02-25,0.4437479972839355,31.37996864318848,65.7420654296875,41.34230422973633,55.2852668762207,52.15924835205078
2014-02-26,0.4430378079414367,31.32144546508789,65.7420654296875,41.13931655883789,55.39022445678711,51.92958450317383
2014-02-27,0.4380652010440826,31.647462844848636,65.92247772216797,41.0958251953125,55.62874603271485,51.96861267089844
2014-02-28,0.435223639011383,32.023616790771484,66.47085571289062,41.190059661865234,55.824344635009766,51.89054870605469
2014-03-03,0.4330924451351166,31.5805778503418,66.0667953491211,40.74786758422852,55.7003059387207,50.8570442199707
2014-03-04,0.4375915229320526,32.10720443725586,67.35118865966797,41.50902938842773,56.09625625610352,51.78947830200195
2014-03-05,0.4413802027702331,31.856433868408203,66.81001281738281,42.16145324707031,56.01040267944336,51.17169570922852
2014-03-06,0.435223639011383,31.88988494873047,67.02647399902344,42.697898864746094,56.177345275878906,51.41283416748047
2014-03-07,0.434749960899353,31.68089866638184,67.33674621582031,43.06034851074219,56.43975067138672,51.80326843261719
2014-03-10,0.4283566176891327,31.614023208618164,67.43054962158203,42.91537857055664,56.182125091552734,51.78947830200195
2014-03-11,0.4326189458370209,31.781190872192383,67.45942687988281,42.18321228027344,55.16602325439453,52.17532730102539
2014-03-12,0.4338029026985168,31.99017143249512,67.538818359375,41.98746871948242,55.24711227416992,51.927284240722656
2014-03-13,0.4200689792633056,31.67252922058105,67.10585021972656,41.62500762939453,53.854122161865234,50.70546340942383
